ntree,mtry,maxdepth,r2,rmse
220,7,10,0.35298425,4.744597446
40,7,15,0.352721117,4.745562131
160,7,5,0.352293005,4.747131237
230,7,10,0.351991917,4.748234462
210,7,5,0.351590055,4.749706544
210,7,10,0.351275537,4.750858352
30,7,20,0.351062468,4.751638481
200,7,5,0.350874553,4.752326404
30,7,15,0.350623243,4.753246252
200,7,10,0.350597973,4.753338734
90,7,20,0.350553458,4.753501646
60,7,5,0.350173718,4.754891162
60,7,15,0.349775098,4.756349326
290,7,5,0.349232946,4.758331811
60,7,20,0.348997143,4.759193817
220,7,5,0.348957297,4.759339462
50,7,20,0.348904319,4.759533101
80,7,10,0.34877253,4.760014769
50,7,15,0.348600594,4.760643091
300,7,5,0.347327282,4.765293714
270,7,5,0.347259108,4.765542584
280,7,5,0.346690012,4.767619563
230,7,5,0.346632146,4.767830704
240,7,5,0.346007545,4.770109113
250,7,5,0.345397024,4.772335113
260,7,5,0.344636395,4.775106963
30,7,5,0.343498219,4.779251649
90,7,10,0.342845883,4.78162552
30,7,10,0.342614169,4.782468453
50,7,10,0.337879954,4.79965822
50,7,5,0.337492362,4.801062826
10,7,15,0.337292677,4.80178631
40,7,10,0.337236276,4.801990639
60,7,10,0.334969692,4.810194787
40,7,5,0.333623987,4.815059102
30,sqrt,20,0.332012719,4.820876888
30,log2,20,0.332012719,4.820876888
40,sqrt,20,0.32872876,4.832712557
40,log2,20,0.32872876,4.832712557
10,11,10,0.325986164,4.842574939
20,sqrt,20,0.325593238,4.84398626
20,log2,20,0.325593238,4.84398626
60,sqrt,20,0.318970448,4.867712539
60,log2,20,0.318970448,4.867712539
100,sqrt,20,0.316801299,4.875458458
100,log2,20,0.316801299,4.875458458
70,sqrt,20,0.31673597,4.875691553
70,log2,20,0.31673597,4.875691553
70,sqrt,15,0.316540295,4.87638966
70,log2,15,0.316540295,4.87638966
80,sqrt,20,0.314513852,4.883613505
80,log2,20,0.314513852,4.883613505
50,sqrt,20,0.31331734,4.887873804
50,log2,20,0.31331734,4.887873804
140,sqrt,20,0.31322706,4.888195104
140,log2,20,0.31322706,4.888195104
210,sqrt,20,0.312606583,4.890402769
210,log2,20,0.312606583,4.890402769
190,sqrt,20,0.311737112,4.893494681
190,log2,20,0.311737112,4.893494681
200,sqrt,20,0.311710525,4.893589197
200,log2,20,0.311710525,4.893589197
60,sqrt,15,0.31148245,4.894399909
60,log2,15,0.31148245,4.894399909
200,sqrt,15,0.311256995,4.895201181
200,log2,15,0.311256995,4.895201181
80,sqrt,15,0.311196769,4.895415203
80,log2,15,0.311196769,4.895415203
210,sqrt,15,0.310728971,4.897077271
210,log2,15,0.310728971,4.897077271
130,sqrt,20,0.310515666,4.897834949
130,log2,20,0.310515666,4.897834949
190,sqrt,15,0.310141051,4.89916533
190,log2,15,0.310141051,4.89916533
30,sqrt,10,0.309588211,4.901127984
30,log2,10,0.309588211,4.901127984
160,sqrt,20,0.309354802,4.901956383
160,log2,20,0.309354802,4.901956383
100,sqrt,15,0.309303518,4.902138376
100,log2,15,0.309303518,4.902138376
170,sqrt,20,0.309065224,4.902983936
170,log2,20,0.309065224,4.902983936
180,sqrt,20,0.308882147,4.903633464
180,log2,20,0.308882147,4.903633464
140,sqrt,15,0.308783565,4.903983182
140,log2,15,0.308783565,4.903983182
230,sqrt,20,0.308393025,4.905368374
230,log2,20,0.308393025,4.905368374
220,sqrt,20,0.30822836,4.9059523
220,log2,20,0.30822836,4.9059523
230,sqrt,15,0.308072452,4.906505107
230,log2,15,0.308072452,4.906505107
40,sqrt,15,0.30787477,4.907205944
40,log2,15,0.30787477,4.907205944
220,sqrt,15,0.307792893,4.907496194
220,log2,15,0.307792893,4.907496194
90,sqrt,20,0.307648965,4.908006366
90,log2,20,0.307648965,4.908006366
150,sqrt,20,0.307072509,4.910049157
150,log2,20,0.307072509,4.910049157
180,sqrt,15,0.306947475,4.91049213
180,log2,15,0.306947475,4.91049213
120,sqrt,20,0.306937419,4.910527756
120,log2,20,0.306937419,4.910527756
170,sqrt,15,0.306632021,4.911609548
170,log2,15,0.306632021,4.911609548
130,sqrt,15,0.306560065,4.911864401
130,log2,15,0.306560065,4.911864401
110,sqrt,20,0.306511197,4.91203747
110,log2,20,0.306511197,4.91203747
240,sqrt,15,0.306318479,4.912719943
240,log2,15,0.306318479,4.912719943
20,sqrt,10,0.306308585,4.912754976
20,log2,10,0.306308585,4.912754976
300,sqrt,15,0.305917987,4.914137899
300,log2,15,0.305917987,4.914137899
240,sqrt,20,0.305753973,4.914718478
240,log2,20,0.305753973,4.914718478
290,sqrt,15,0.305739617,4.914769291
290,log2,15,0.305739617,4.914769291
90,sqrt,15,0.30515492,4.916838433
90,log2,15,0.30515492,4.916838433
270,sqrt,15,0.304586627,4.918848692
270,log2,15,0.304586627,4.918848692
300,sqrt,20,0.304303942,4.919848342
300,log2,20,0.304303942,4.919848342
240,sqrt,10,0.304294495,4.919881748
240,log2,10,0.304294495,4.919881748
300,sqrt,10,0.304061604,4.920705156
300,log2,10,0.304061604,4.920705156
270,sqrt,20,0.304051961,4.920739247
270,log2,20,0.304051961,4.920739247
120,sqrt,15,0.303828263,4.921530019
120,log2,15,0.303828263,4.921530019
290,sqrt,20,0.303660402,4.922123322
290,log2,20,0.303660402,4.922123322
250,sqrt,15,0.303173614,4.923843469
250,log2,15,0.303173614,4.923843469
160,sqrt,15,0.302925585,4.92471969
160,log2,15,0.302925585,4.92471969
260,sqrt,15,0.302883174,4.924869501
260,log2,15,0.302883174,4.924869501
290,sqrt,10,0.302856178,4.924964858
290,log2,10,0.302856178,4.924964858
280,sqrt,15,0.30283677,4.925033409
280,log2,15,0.30283677,4.925033409
260,sqrt,20,0.302445909,4.926413815
260,log2,20,0.302445909,4.926413815
250,sqrt,10,0.302262763,4.927060497
250,log2,10,0.302262763,4.927060497
250,sqrt,20,0.302016241,4.927930826
250,log2,20,0.302016241,4.927930826
280,sqrt,20,0.301905925,4.92832024
280,log2,20,0.301905925,4.92832024
230,sqrt,10,0.301465962,4.929872995
230,log2,10,0.301465962,4.929872995
30,sqrt,15,0.301408865,4.930074471
30,log2,15,0.301408865,4.930074471
50,sqrt,15,0.30128675,4.930505345
50,log2,15,0.30128675,4.930505345
260,sqrt,10,0.301236369,4.930683099
260,log2,10,0.301236369,4.930683099
110,sqrt,15,0.301221464,4.930735686
110,log2,15,0.301221464,4.930735686
70,sqrt,10,0.300672932,4.932670587
70,log2,10,0.300672932,4.932670587
140,sqrt,10,0.300645504,4.932767317
140,log2,10,0.300645504,4.932767317
280,sqrt,10,0.300573934,4.933019714
280,log2,10,0.300573934,4.933019714
150,sqrt,15,0.300547878,4.9331116
150,log2,15,0.300547878,4.9331116
270,sqrt,10,0.300515012,4.933227497
270,log2,10,0.300515012,4.933227497
50,sqrt,10,0.299843138,4.935596175
50,log2,10,0.299843138,4.935596175
210,sqrt,10,0.299442853,4.937006834
210,log2,10,0.299442853,4.937006834
170,sqrt,10,0.299072347,4.938312188
170,log2,10,0.299072347,4.938312188
60,sqrt,10,0.2979406,4.942297381
60,log2,10,0.2979406,4.942297381
200,sqrt,10,0.297906126,4.942418722
200,log2,10,0.297906126,4.942418722
40,sqrt,10,0.297824635,4.942705546
40,log2,10,0.297824635,4.942705546
220,sqrt,10,0.297482703,4.943908852
220,log2,10,0.297482703,4.943908852
190,sqrt,10,0.297219891,4.944833524
190,log2,10,0.297219891,4.944833524
100,sqrt,10,0.297200423,4.944902014
100,log2,10,0.297200423,4.944902014
160,sqrt,10,0.296689133,4.946700406
160,log2,10,0.296689133,4.946700406
150,sqrt,10,0.296604907,4.946996595
150,log2,10,0.296604907,4.946996595
180,sqrt,10,0.295382257,4.951294196
180,log2,10,0.295382257,4.951294196
130,sqrt,10,0.295207402,4.951908501
130,log2,10,0.295207402,4.951908501
20,sqrt,15,0.29433948,4.954956598
20,log2,15,0.29433948,4.954956598
110,sqrt,10,0.290885177,4.96706938
110,log2,10,0.290885177,4.96706938
80,sqrt,10,0.290223175,4.969387371
80,log2,10,0.290223175,4.969387371
90,sqrt,10,0.289225774,4.972877714
90,log2,10,0.289225774,4.972877714
120,sqrt,10,0.287914579,4.977462441
120,log2,10,0.287914579,4.977462441
20,sqrt,5,0.286860547,4.981144907
20,log2,5,0.286860547,4.981144907
100,sqrt,5,0.286027128,4.984054698
100,log2,5,0.286027128,4.984054698
290,sqrt,5,0.283408784,4.993185313
290,log2,5,0.283408784,4.993185313
300,sqrt,5,0.283117608,4.994199664
300,log2,5,0.283117608,4.994199664
140,sqrt,5,0.282772512,4.995401585
140,log2,5,0.282772512,4.995401585
210,sqrt,5,0.280607175,5.002936555
210,log2,5,0.280607175,5.002936555
260,sqrt,5,0.27945058,5.006956645
260,log2,5,0.27945058,5.006956645
190,sqrt,5,0.27940988,5.007098051
190,log2,5,0.27940988,5.007098051
200,sqrt,5,0.279352867,5.007296127
200,log2,5,0.279352867,5.007296127
220,sqrt,5,0.279293095,5.007503779
220,log2,5,0.279293095,5.007503779
270,sqrt,5,0.279171733,5.007925379
270,log2,5,0.279171733,5.007925379
240,sqrt,5,0.279011284,5.008482703
240,log2,5,0.279011284,5.008482703
280,sqrt,5,0.278859292,5.009010597
280,log2,5,0.278859292,5.009010597
250,sqrt,5,0.278784532,5.00927023
250,log2,5,0.278784532,5.00927023
130,sqrt,5,0.278049206,5.011823216
130,log2,5,0.278049206,5.011823216
230,sqrt,5,0.277589983,5.013416939
230,log2,5,0.277589983,5.013416939
180,sqrt,5,0.277218501,5.014705787
180,log2,5,0.277218501,5.014705787
110,sqrt,5,0.276104732,5.018568002
110,log2,5,0.276104732,5.018568002
60,sqrt,5,0.27597608,5.019013938
60,log2,5,0.27597608,5.019013938
170,sqrt,5,0.27557398,5.020407443
170,log2,5,0.27557398,5.020407443
120,sqrt,5,0.274469106,5.024234476
120,log2,5,0.274469106,5.024234476
150,sqrt,5,0.272676317,5.030438096
150,log2,5,0.272676317,5.030438096
70,sqrt,5,0.272226239,5.031994307
70,log2,5,0.272226239,5.031994307
160,sqrt,5,0.272062212,5.032561336
160,log2,5,0.272062212,5.032561336
40,sqrt,5,0.271552928,5.034321483
40,log2,5,0.271552928,5.034321483
90,sqrt,5,0.270992724,5.036256905
90,log2,5,0.270992724,5.036256905
50,sqrt,5,0.268866173,5.043597063
50,log2,5,0.268866173,5.043597063
80,sqrt,5,0.26802077,5.046512153
80,log2,5,0.26802077,5.046512153
30,sqrt,5,0.259871612,5.074525923
30,log2,5,0.259871612,5.074525923
10,sqrt,10,0.220523225,5.207670936
10,log2,10,0.220523225,5.207670936
10,sqrt,20,0.214354323,5.22823749
10,log2,20,0.214354323,5.22823749
10,sqrt,15,0.204383384,5.2613097
10,log2,15,0.204383384,5.2613097
10,sqrt,5,0.189311287,5.310910805
10,log2,5,0.189311287,5.310910805
