,Geography,lon,lat,his_num_311_per_property,neighbor_his_num_per_property,snow_depth,percent_below_poverty,percent_civilian_unemployed,per_capita_income,percent_no_highschool,percent_65older,percent_17younger,percent_household_disability,percent_single_parent_household,percent_minority,percent_notwell_english,percent_singleunits,percent_multiunit,percent_mobile_homes,percent_owneroccupiedunit,percent_crowding,percent_group_quarters,median_year_properties_built,median_value_properties_built,percent_no_vehicle,311_index_per_property,distance
47,360290023001,1089787.92033,1052070.43441,48.65900383141762,44.92437467496077,132.0435822746407,0.209055877,0.085365854,26562,0.297752809,0.132947977,0.278420039,0.460957179,0.606498195,0.387283237,0.051102204,0.433566434,0.020979021,0.0,0.486146096,0.035264484,0.0,1910.0,62000.0,0.166246851,10.727969348659004,19253.30367091342
48,360290023002,1088710.4167,1052058.32405,45.867768595041326,49.28567429566827,131.714,0.417490494,0.204771372,17789,0.128712871,0.137642586,0.35513308,0.446300716,0.406896552,0.36730038,0.024428684,0.391498881,0.0,0.06935123,0.53699284,0.064439141,0.002281369,1910.0,59000.0,0.205250597,10.330578512396697,18613.32325449057
49,360290023003,1087268.00918,1051720.75398,41.54589371980676,49.200334308063255,129.71931591323988,0.216513761,0.16838488,28005,0.114197531,0.089500861,0.282271945,0.397379913,0.551724138,0.666092943,0.0,0.615686275,0.062745098,0.0,0.593886463,0.0,0.0,1920.0,58000.0,0.174672489,7.729468599033816,17971.541900693075
50,360290023004,1086792.02634,1052364.97729,55.44217687074829,49.1278680516652,129.68016718988642,0.484340045,0.099773243,17339,0.267993874,0.061521253,0.214765101,0.584245077,0.56875,0.544742729,0.020737327,0.409736308,0.198782961,0.0,0.422319475,0.0,0.011185682,1910.0,56000.0,0.297592998,11.224489795918368,17481.54976828019
51,360290024001,1088786.417,1053464.7906,42.04204204204204,46.10998141469108,128.5689125092417,0.046532847,0.015822785,36778,0.102372035,0.083557951,0.209344115,0.213157895,0.720670391,0.174303684,0.0,0.452054795,0.0,0.0,0.565789474,0.0,0.0,1920.0,58000.0,0.134210526,12.612612612612612,18162.97376663162
52,360290024002,1088408.02944,1054730.42009,35.984848484848484,43.71733621733622,121.47369146758832,0.331692913,0.075949367,20717,0.10373444,0.143700787,0.220472441,0.577830189,0.256830601,0.288385827,0.01572327,0.69123506,0.025896414,0.0,0.726415094,0.113207547,0.0,1920.0,54000.0,0.205188679,11.742424242424242,17559.67297443812
53,360290024003,1086986.90605,1054341.79952,57.65765765765766,51.28874222691489,121.6311991181704,0.34109817,0.061696658,21443,0.296127563,0.098169717,0.231281198,0.28959276,1.0,0.116472546,0.0,0.359477124,0.0,0.062091503,0.733031674,0.0,0.0,1915.0,58000.0,0.226244344,9.00900900900901,16890.43857481057
54,360290024004,1089760.23618,1054814.47398,33.04843304843305,42.201776619880064,123.08941534068894,0.114624506,0.236619718,21078,0.09978308,0.197628458,0.335968379,0.285714286,0.0,0.507246377,0.014005602,0.569682152,0.0,0.0,0.649068323,0.0,0.0,1920.0,55000.0,0.263975155,7.4074074074074066,18373.07219434812
55,360290024005,1084650.49223,1054386.73363,56.41025641025641,55.35990588763333,117.21913437927208,0.295536791,0.077151335,18329,0.514680484,0.06377858,0.202166065,0.378516624,0.0,0.600481348,0.057104914,0.115384615,0.0,0.0,0.57544757,0.0,0.004813478,1910.0,22000.0,0.345268542,11.858974358974358,15805.624699009491
56,360290025021,1072525.55014,1054932.66555,48.51485148514851,39.37949153910709,103.219257222738,0.554497354,0.143979058,23959,0.281869688,0.250790306,0.144362487,0.474683544,0.649635036,0.849315068,0.0,0.02056962,0.488924051,0.0,0.091772152,0.0,0.023182297,1910.0,68500.0,0.555379747,9.9009900990099,14597.436635825665
57,360290025022,1074156.45465,1053036.17233,35.294117647058826,35.81249308105226,108.67511659552892,0.104438642,0.0,53319,0.017094017,0.464751958,0.036553525,0.03539823,1.0,0.971279373,0.0,0.575,0.0,0.0,0.849557522,0.0,0.028720627,1988.0,132000.0,0.17699115,7.563025210084033,15039.543661370595
58,360290025023,1074227.28808,1054286.73837,40.99616858237548,37.33297838515018,104.54766821824524,0.431616341,0.138392857,23476,0.170316302,0.179396092,0.195381883,0.217391304,0.427272727,0.941385435,0.012320329,0.303225806,0.169892473,0.0,0.43812709,0.0,0.010657194,1986.0,118000.0,0.244147157,14.942528735632186,14503.569272742818
59,360290027031,1080298.81313,1056300.11888,65.6891495601173,44.42754627638244,109.19637163443912,0.811748999,0.035190616,8253,0.356617647,0.054521277,0.347074468,0.394265233,0.265225933,0.916888298,0.22697126,0.27753304,0.292217327,0.0,0.202508961,0.03046595,0.029255319,1900.0,23000.0,0.564516129,15.835777126099709,13931.794499572448
61,360290027042,1081904.78366,1056110.30659,54.63917525773196,53.83944481703076,110.30939195947718,0.147887324,0.116972477,19773,0.394383394,0.230633803,0.272887324,0.798342541,0.0,0.493838028,0.316231343,0.501362398,0.0,0.0,0.635359116,0.0,0.0,1900.0,21000.0,0.016574586,14.432989690721648,14351.693830150578
62,360290027043,1081421.76321,1055188.27436,47.2972972972973,55.45828115257267,110.5951449364442,0.540785498,0.0,7751,0.516666667,0.0,0.471299094,0.492537313,0.211538462,0.933534743,0.072555205,0.262711864,0.0,0.0,0.656716418,0.149253731,0.0,1900.0,17000.0,0.343283582,16.89189189189189,14501.376530867614
64,360290028012,1085963.03391,1056268.5987,65.73033707865169,51.27149527149527,116.54569871489444,0.56,0.120481928,13592,0.286219081,0.16,0.386,0.300653595,0.764705882,0.762,0.0591133,0.31496063,0.015748031,0.0,0.37254902,0.026143791,0.0,1908.5,24500.0,0.614379085,10.674157303370784,15851.635812485005
65,360290028021,1084688.53462,1057442.61856,50.16835016835017,52.00525587303884,110.42990126647224,0.359726295,0.092,17134,0.202702703,0.069158879,0.26635514,0.302816901,0.703125,0.862616822,0.101577909,0.441176471,0.034926471,0.0,0.215962441,0.035211268,0.100934579,1910.0,30000.0,0.230046948,15.488215488215488,15015.47055405308
66,360290029001,1086697.71774,1059386.46025,44.57831325301205,50.13723420340676,109.05939269046934,0.542016807,0.180952381,9447,0.137767221,0.176066025,0.301237964,0.666666667,0.0,0.878954608,0.00798722,0.47080292,0.0,0.0,0.611872146,0.0,0.119669876,1910.0,33000.0,0.465753425,12.048192771084338,15710.810153405964
